"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 22:24:04 GMT 2023","Thu Feb 09 22:24:11 GMT 2023","6525","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Thu Feb 09 22:23:30 GMT 2023","Thu Feb 09 22:23:36 GMT 2023","6069","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Thu Feb 09 22:23:30 GMT 2023","Thu Feb 09 22:23:56 GMT 2023","26589","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Thu Feb 09 22:23:36 GMT 2023","Thu Feb 09 22:23:52 GMT 2023","16886","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"passed","Thu Feb 09 22:24:12 GMT 2023","Thu Feb 09 22:24:28 GMT 2023","16720","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"passed","Thu Feb 09 22:23:29 GMT 2023","Thu Feb 09 22:23:45 GMT 2023","16223","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"passed","Thu Feb 09 22:23:46 GMT 2023","Thu Feb 09 22:23:53 GMT 2023","7618","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Thu Feb 09 22:23:53 GMT 2023","Thu Feb 09 22:24:16 GMT 2023","22766","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
"failed","Thu Feb 09 22:24:59 GMT 2023","Thu Feb 09 22:25:44 GMT 2023","44396","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Thu Feb 09 22:23:52 GMT 2023","Thu Feb 09 22:24:04 GMT 2023","11984","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
